model,scenario,strategy,subset,label,mean,std,median,minimum,maximum,fold_count,metric
lstm,A,none,test,alert,0.8804379193098637,0.0750322620544074,0.9022910693561403,0.7774193548387097,0.9397501836884644,4,f1
lstm,A,none,test,distraction,0.48005839394360345,0.17510793398836688,0.523770874753186,0.2507836990595611,0.6219081272084805,4,f1
lstm,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
lstm,A,none,validation,alert,0.8928116320115921,0.02841108811679091,0.8912126507130493,0.8677685950413223,0.9210526315789473,4,f1
lstm,A,none,validation,distraction,0.3205370670765013,0.053454089271806345,0.33302255531251124,0.24875621890547264,0.3673469387755102,4,f1
lstm,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
lstm,B,class_weights,test,alert,0.8601620327527979,0.06885971383678048,0.8667540107302182,0.7846071619454837,0.9225329476052716,4,f1
lstm,B,class_weights,test,distraction,0.48694047554512665,0.1873881344869722,0.5113486513486514,0.25839793281653745,0.6666666666666666,4,f1
lstm,B,class_weights,test,fatigue,0.03698893698893699,0.05392021828235649,0.016835016835016835,0.0,0.11428571428571428,4,f1
lstm,B,class_weights,validation,alert,0.8244378879574961,0.04053605556057334,0.8219662348669667,0.7830985915492957,0.8707204905467553,4,f1
lstm,B,class_weights,validation,distraction,0.2884308981047754,0.08555602060656911,0.3054956759909716,0.16939890710382513,0.37333333333333335,4,f1
lstm,B,class_weights,validation,fatigue,0.08846090763427158,0.061553625821880835,0.10549324383997175,0.0,0.14285714285714285,4,f1
lstm,C,weighted_sampling,test,alert,0.8434961226808577,0.08770063418712921,0.8626873053048045,0.7285067873303167,0.9201030927835051,4,f1
lstm,C,weighted_sampling,test,distraction,0.5035583659785563,0.19786170168209072,0.5229412044198312,0.2594594594594595,0.7088915956151035,4,f1
lstm,C,weighted_sampling,test,fatigue,0.02980856343798007,0.03450778855590791,0.02830188679245283,0.0,0.06263048016701461,4,f1
lstm,C,weighted_sampling,validation,alert,0.8236730871476389,0.01671991501246486,0.8241835144569238,0.8051367950865438,0.8411885245901639,4,f1
lstm,C,weighted_sampling,validation,distraction,0.2852280901894895,0.07926796488478119,0.3071493564430781,0.17204301075268819,0.3545706371191136,4,f1
lstm,C,weighted_sampling,validation,fatigue,0.06284632034632034,0.04757400959490107,0.07212121212121213,0.0,0.10714285714285714,4,f1
lstm,D,augmentation,test,alert,0.8818452638598475,0.05779997387909353,0.884807161411728,0.8202898550724638,0.9374768775434702,4,f1
lstm,D,augmentation,test,distraction,0.48122588571010055,0.16322149725174123,0.5243154470025997,0.2631578947368421,0.6131147540983607,4,f1
lstm,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
lstm,D,augmentation,validation,alert,0.8879131763635331,0.01980828726575838,0.8944677270431267,0.8598326359832636,0.9028846153846154,4,f1
lstm,D,augmentation,validation,distraction,0.3139581625048828,0.042689118994681606,0.31933796010319393,0.2570281124497992,0.36012861736334406,4,f1
lstm,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
svm,A,none,test,alert,0.8906782058348959,0.03088412766318976,0.8941789983655459,0.8568329718004338,0.9175218548080578,4,f1
svm,A,none,test,distraction,0.47330801540036044,0.18306354434438515,0.5002365482873904,0.2476780185758514,0.6450809464508095,4,f1
svm,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
svm,A,none,validation,alert,0.881758372864648,0.018766934946397376,0.8871199174054899,0.8547544409613375,0.8980392156862745,4,f1
svm,A,none,validation,distraction,0.2900073777022934,0.05821921184480433,0.2965825963533137,0.2127659574468085,0.3540983606557377,4,f1
svm,A,none,validation,fatigue,0.08554131054131053,0.12205583411963923,0.03774928774928775,0.0,0.26666666666666666,4,f1
svm,B,class_weights,test,alert,0.8533658647266831,0.06337835373212378,0.8658776522833607,0.7719118400820092,0.9097963142580019,4,f1
svm,B,class_weights,test,distraction,0.4333759406189994,0.15860583162756745,0.45360674457591293,0.24858757062146894,0.5777027027027027,4,f1
svm,B,class_weights,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,f1
