ablation,absent_classes,accuracy,balanced_accuracy,best_epoch,best_training_loss,best_validation_loss,best_validation_macro_f1,configuration_id,fold,generation,inference_seconds,inference_windows_per_second,macro_f1_all_classes,macro_f1_present_classes,model,model_size_bytes,num_windows,parameter_count,peak_gpu_memory_bytes,present_classes,representation,resumed_checkpoint,run_id,seed,stopping_epoch,subset,train_seconds,training_seconds,window_size_frames
temporal_r0,[],0.7813559322033898,0.42411181727421043,1,1.076000134716619,1.0296862638602822,0.40779159862035436,qualification_r0_w60_b1024,1,G2,0.021169799998460803,55739.780257054605,0.40779159862035436,0.40779159862035436,lstm,651410,1180,51651,376863232,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,16,validation,2.997760800000833,2.997760800000833,60
temporal_r0,[],0.6988265971316818,0.5284554620001035,1,1.076000134716619,1.0296862638602822,0.40779159862035436,qualification_r0_w60_b1024,1,G2,0.030271199997514486,50675.22926497641,0.4630544796584773,0.4630544796584773,lstm,651410,1534,51651,376863232,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,42,16,test,2.997760800000833,2.997760800000833,60
temporal_r0,[],0.8330508474576271,0.4268755935422602,7,0.3150767494105022,0.42942934127177224,0.4289865860568595,qualification_r0_w60_b1024,1,G2,3.9676679000003787,297.40392334748765,0.4289865860568595,0.4289865860568595,tcn,637244,1180,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,22,validation,382.1272772000011,382.1272772000011,60
temporal_r0,[],0.8305084745762712,0.5536620815872523,7,0.3150767494105022,0.42942934127177224,0.4289865860568595,qualification_r0_w60_b1024,1,G2,5.708207899999252,268.73583213396995,0.5393976990103332,0.5393976990103332,tcn,637244,1534,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_1__seed_42,42,22,test,382.1272772000011,382.1272772000011,60
temporal_r0,[],0.8389830508474576,0.40324348016655714,6,0.3086808772695888,0.4045623254978051,0.4153726983415927,qualification_r0_w60_b1024,1,G2,0.026659099999960745,44262.55950132366,0.41158026755852845,0.41158026755852845,transformer,267443,1180,17443,257083904,"[""alert"", ""fatigue"", ""distraction""]",R0,True,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_1__seed_42,42,21,validation,5.0200638999995135,5.0200638999995135,60
temporal_r0,[],0.7607561929595827,0.5624095227919073,6,0.3086808772695888,0.4045623254978051,0.4153726983415927,qualification_r0_w60_b1024,1,G2,0.037005099999078084,41453.74556583328,0.5710453682939453,0.5710453682939453,transformer,267443,1534,17443,257083904,"[""alert"", ""fatigue"", ""distraction""]",R0,True,G2__qualification_r0_w60_b1024__transformer__r0__w60__fold_1__seed_42,42,21,test,5.0200638999995135,5.0200638999995135,60
temporal_r0,[],0.8567774936061381,0.4121182586094867,12,0.46640566767514513,0.374555635241393,0.38993628349480663,qualification_r0_w60_b1024,2,G2,0.023510700000770157,49892.17675192891,0.38993628349480663,0.38993628349480663,lstm,652626,1173,51651,377037312,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,27,validation,3.922486100000242,3.922486100000242,60
temporal_r0,"[""fatigue""]",0.8851931330472103,0.7694692409130508,12,0.46640566767514513,0.374555635241393,0.38993628349480663,qualification_r0_w60_b1024,2,G2,0.03540129999964847,52653.43363149119,0.5180764809438346,0.777114721415752,lstm,652626,1864,51651,377037312,"[""alert"", ""distraction""]",R0,False,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,42,27,test,3.922486100000242,3.922486100000242,60
temporal_r0,[],0.8772378516624041,0.3950617283950617,5,0.5098828602937678,0.36189903583114,0.38791986407513207,qualification_r0_w60_b1024,2,G2,3.951308200001222,296.86370706279945,0.38791986407513207,0.38791986407513207,tcn,637052,1173,49379,189763584,"[""alert"", ""fatigue"", ""distraction""]",R0,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,42,20,validation,305.0764182999992,305.0764182999992,60
temporal_r0,"[""fatigue""]",0.8905579399141631,0.7587697668709523,5,0.5098828602937678,0.36189903583114,0.38791986407513207,qualification_r0_w60_b1024,2,G2,6.113239499998599,304.9119865172021,0.5184977368795122,0.7777466053192683,tcn,637052,1864,49379,189763584,"[""alert"", ""distraction""]",R0,False,G2__qualification_r0_w60_b1024__tcn__r0__w60__fold_2__seed_42,42,20,test,305.0764182999992,305.0764182999992,60
